username,created_at,full_text
minggudesu,Thu Apr 10 06:50:34 +0000 2025,@benedictyche yoi disana bukan tempat yg rekomen buat #KaburAjaDulu mana pake embel2 enak bisa nonton timnas di kuwait 
closvit,Thu Apr 10 06:47:40 +0000 2025,@skenacat AMIN PLS KASUNG TOLONG BAWA AKU KE KOREA #KaburAjaDulu
womensfootie_id,Thu Apr 10 06:26:49 +0000 2025,Satu lagi pesepak bola muda kita yang rela #KaburAjaDulu demi mengejar mimpi. Keysha Bulgamin dan keluarga bahkan memutuskan untuk pindah dari Finlandia ke Belanda demi karier bolanya Keysha. Mereka menilai Belanda punya prospek yang bagus untuk progres sepak bolanya Keysha. https://t.co/45tqwVCDgi
cotteshu,Thu Apr 10 06:06:16 +0000 2025,I thought he's that wni #.kaburajadulu ternyata bule BENERAN anjingggg (anw u're pretty)
slow_ly_ving_,Thu Apr 10 06:02:40 +0000 2025,@nmonarizqa Mmg #kaburajadulu itu bukan buat semua orang. Harus bener2 selesei dgn urusan di negara awalnya dulu biar plong memulai hidup baru di negara tujuan. Semoga sehat terus semuanya!!
sogosagi,Thu Apr 10 05:59:13 +0000 2025,@ktgcrispyy_ sudah siap kaburajadulu kak macha karena cocok dipinang jadi istri bule jerman 
darlingRui17,Thu Apr 10 05:48:17 +0000 2025,@baroquebandit Mari kita #KaburAjaDulu 
En_nan110,Thu Apr 10 05:31:02 +0000 2025,Disini jadi ngerasa kalau udah kebanyakan jejepangan dan k-stuff di lingkungan yang jowo dan #.kaburajadulu https://t.co/oP40FDktt2
nctsunzen,Thu Apr 10 05:12:12 +0000 2025,trs dia bilng ke ak jangan mau kerja di indo lulusan luar sma yg pinter2 ini gak dihargai di negara sendiri cari beasiswa kuliah disna trs lanjut kerja luar ae makane kan di medsos ad hastag kaburajadulu smbil ngebatin ak klo ad duit jg pengennya kerja diluar 
septianiii,Thu Apr 10 05:09:32 +0000 2025,@atikaluthfiy Dia itu aktivis #kaburajadulu
AsFaza2101,Thu Apr 10 05:01:16 +0000 2025,scandal Maya pada indonesia yang menyiasati nasabahnya sendiri demi keuntungan pribadi MENDANAI JOKOWI APAKAH BISA ANTI HUKUM?? #JOKOWI #hidupjokowi #scandal #masukfyp #indonesiagelap #indonesiamaju #tedsioeng ng #kaburajadulu #tiktokviral #berita #untukmu #breakingnews https://t.co/k9FCZJUIGx
0x0D1201,Thu Apr 10 04:59:21 +0000 2025,@majaw3634 Contoh sukses #kaburajadulu
Sabi12615726,Thu Apr 10 04:57:57 +0000 2025,scandal Maya pada indonesia yang menyiasati nasabahnya sendiri demi keuntungan pribadi MENDANAI JOKOWI APAKAH BISA ANTI HUKUM?? #JOKOWI #hidupjokowi #scandal #masukfyp #indonesiagelap #indonesiamaju #tedsioeng ng #kaburajadulu #tiktokviral #berita #untukmu #breakingnews https://t.co/Uoit6OV5dx
Jefferyyyyy,Thu Apr 10 04:50:27 +0000 2025,@tanyakanrl gw cowo dan reply gw #kaburajadulu
paboogum,Thu Apr 10 04:23:22 +0000 2025,@malfoyismuggles jd #KaburAjaDulu nanti kak wkkw
sollsolina,Thu Apr 10 03:48:27 +0000 2025,Kalo non tech apakah susah buat #KaburAjaDulu? ️
onesadjellybean,Thu Apr 10 03:37:35 +0000 2025,@eternemour bismillah #kaburajadulu
beeboforbangtan,Thu Apr 10 03:00:08 +0000 2025,Dipikir Palestina ada #kaburajadulu kaya disini? Disana tanah Makmur gak ada yang korup mereka di jajah oleh pihak luar. Gak kaya disini dijajah sama pihak sendiri
oujouchan,Thu Apr 10 02:55:22 +0000 2025,@betweenrainfall WOWWWW keren! amin semoga semuanya lancar yah! gausah balik ke sini disini masih kacau betah-betahin tinggal disana! btw dimana? #KaburAjaDulu WKWKWKWKWK ya itulah emang kalo bahas impulsif tu pasti ada aja. kayak aku sukanya beli barang random yg imut. 
wahnanjun,Thu Apr 10 02:47:48 +0000 2025,@khns_ moga2 bisa segera #KaburAjaDulu dari negeri ini maupun agensinya huhu gelap semuanya
selirjenolee,Thu Apr 10 02:33:49 +0000 2025,@onoursea padahal keren bgt loh dia bisa tembus di big 3 orang indo pertama lagi pencetus #kaburajadulu 
kopidinginn,Thu Apr 10 02:29:53 +0000 2025,@jejakxdigital ini ya hasilnya #KaburAjaDulu 
fr3dy13th,Thu Apr 10 02:27:41 +0000 2025,@threadbcn Kemarin keluar tagar #KABURAJADULU sekarang bakalan muncul tagar #berobatdiluaryuk
