hasil_stemming,dominant_emotion
"['iya', 'sana', 'bukan', 'tempat', 'rekomendasi', 'buat', 'kaburajadulu', 'mana', 'guna', 'embel', 'enak', 'bisa', 'nonton']",anger
"['mohon', 'kasung', 'bawa', 'aku', 'korea', 'kaburajadulu']",anger
"['sepak', 'bola', 'muda', 'kita', 'rela', 'kaburajadulu', 'demi', 'kejar', 'mimpi', 'keysha', 'bulgamin', 'keluarga', 'bahkan', 'putus', 'pindah', 'finlandia', 'belanda', 'demi', 'karier', 'bola', 'keysha', 'nilai', 'belanda', 'punya', 'prospek', 'bagus', 'progres', 'sepak', 'bola', 'keysha', 'tqwvcdgi']",anticipation
"['thought', 'hes', 'wni', 'kaburajadulu', 'nyata', 'bule', 'beneran', 'anjingg', 'anw', 'ure', 'pretty']",trust
"['memang', 'kaburajadulu', 'bukan', 'buat', 'semua', 'orang', 'benar', 'selesei', 'urus', 'negara', 'awal', 'dulu', 'mulai', 'hidup', 'baru', 'negara', 'tuju', 'semoga', 'sehat', 'terus', 'semua']",anticipation
"['sudah', 'siap', 'kaburajadulu', 'cocok', 'pinang', 'jadi', 'istri', 'bule', 'jerman']",trust
"['mari', 'kita', 'kaburajadulu']",anger
"['sini', 'jadi', 'ngerasa', 'sudah', 'banyak', 'jejepangan', 'kstuff', 'lingkung', 'jowo', 'kaburajadulu', 'httpstcoop', 'fdktt']",anger
"['terus', 'dia', 'mengatakan', 'jangan', 'ingin', 'kerja', 'indonesia', 'lulus', 'luar', 'sma', 'pintar', 'tidak', 'harga', 'negara', 'sendiri', 'cari', 'beasiswa', 'kuliah', 'sana', 'terus', 'lanjut', 'kerja', 'luar', 'aja', 'makanya', 'medsos', 'ada', 'tagar', 'kaburajadulu', 'ngebatin', 'ada', 'uang', 'ingin', 'kerja', 'luar']",joy
"['dia', 'aktivis', 'kaburajadulu']",anger
"['skandal', 'maya', 'indonesia', 'siasat', 'nasabah', 'sendiri', 'demi', 'untung', 'pribadi', 'dana', 'apakah', 'bisa', 'anti', 'hukum', 'hidupjokowi', 'skandal', 'masukfyp', 'indonesiagelap', 'indonesiamaju', 'tedsioeng', 'ng', 'kaburajadulu', 'tiktokviral', 'berita', 'untuk', 'breakingnews', 'httpstcok', 'fczjuigx']",trust
"['contoh', 'sukses', 'kaburajadulu']",joy
"['skandal', 'maya', 'indonesia', 'siasat', 'nasabah', 'sendiri', 'demi', 'untung', 'pribadi', 'dana', 'apakah', 'bisa', 'anti', 'hukum', 'hidupjokowi', 'skandal', 'masukfyp', 'indonesiagelap', 'indonesiamaju', 'tedsioeng', 'ng', 'kaburajadulu', 'tiktokviral', 'berita', 'untuk', 'breakingnews', 'httpstcouoit', 'ov', 'dx']",trust
"['cowo', 'balas', 'kaburajadulu']",anger
"['jadi', 'kaburajadulu']",anger
"['non', 'tech', 'apakah', 'susah', 'buat', 'kaburajadulu']",sadness
"['bismillah', 'kaburajadulu']",anticipation
"['pikir', 'palestina', 'ada', 'kaburajadulu', 'kaya', 'sini', 'sana', 'tanah', 'makmur', 'tidak', 'ada', 'korupsi', 'jajah', 'pihak', 'luar', 'tidak', 'kaya', 'sini', 'jajah', 'sama', 'pihak', 'sendiri']",disgust
"['woww', 'bagus', 'semoga', 'semua', 'lancar', 'tidak', 'sini', 'sini', 'masih', 'rusak', 'betahbetahin', 'tinggal', 'sana', 'btw', 'kaburajadulu', 'wkwkwkwkwk', 'iya', 'memang', 'bahas', 'impulsif', 'pasti', 'ada', 'kayak', 'aku', 'suka', 'beli', 'barang', 'random', 'imut']",trust
"['semoga', 'bisa', 'segera', 'kaburajadulu', 'negeri', 'maupun', 'agens', 'huhu', 'gelap', 'semua']",anticipation
"['padahal', 'bagus', 'sangat', 'dia', 'bisa', 'tembus', 'big', 'orang', 'indonesia', 'pertama', 'cetus', 'kaburajadulu']",joy
"['iya', 'hasil', 'kaburajadulu']",anticipation
"['kemarin', 'keluar', 'tagar', 'kaburajadulu', 'sekarang', 'bakal', 'muncul', 'tagar', 'berobatdiluaryuk']",disgust
"['sverre', 'aku', 'ingin', 'kaburajadulu', 'hikss', 'enak', 'sana', 'imigran', 'indonesia', 'meski', 'bukan', 'imigran', 'kamu', 'khow', 'what', 'mean']",fear
"['hbd', 'biann', 'semoga', 'segera', 'kaburajadulu', 'alias', 'iri', 'dikit']",anticipation
"['malah', 'tambah', 'bingung', 'niat', 'ingin', 'kaburajadulu', 'malah', 'tidak', 'punya', 'gelar', 'sama', 'sekali']",trust
"['sial', 'kemarin', 'lamar', 'lamar', 'keluar', 'dia', 'tidak', 'ingin', 'kasih', 'visa', 'jadi', 'gagal', 'kaburajadulu', 'paksa', 'jadi', 'wni']",sadness
"['benar', 'sangat', 'tuju', 'bikin', 'kaburajadulu']",disgust
"['komitmen', 'terus', 'sama', 'tuju', 'sukses', 'sama', 'kaburajadulu', 'lpk', 'lpkjepang', 'magang', 'lokerjepang', 'trend', 'httpstcomkyat', 'vgjn']",trust
"['mending', 'ambil', 'brevet', 'aampb', 'banyak', 'sertifikasi', 'buat', 'kaburajadulu']",anger
"['kaburajadulu', 'cuma', 'nyebrang', 'pulau', 'tinggal', 'dulu', 'jabodetabek', 'httpstcokctee', 'osxu']",anger
"['babak', 'bur', 'indonesia', 'hajar', 'tarif', 'trump', 'warga', 'indonesia', 'masih', 'sibuk', 'cari', 'loker', 'pabrik', 'habis', 'lebaran', 'nih', 'gua', 'kasih', 'tahu', 'masih', 'cari', 'loker', 'sekarang', 'pabrik', 'sudah', 'banyak', 'pindah', 'vietnam', 'kamu', 'capek', 'cari', 'loker', 'mending', 'kamu', 'belajar', 'bahasa', 'kaburajadulu']",anticipation
"['butuh', 'ulang', 'saat', 'kabur', 'dulu', 'mungkin', 'tempat', 'lebih', 'sepi', 'baru', 'pikir', 'lebih', 'jernih', 'kaburajadulu', 'ridwankamil', 'httpstcoxxyw', 'plur']",fear
"['mimpi', 'kabur', 'amerika', 'akibat', 'akibat', 'tidur', 'kondisi', 'belum', 'baca', 'kasus', 'kaburajadulu']",fear
"['serta', 'hasil', 'kaburajadulu', 'alhamdulillah', 'iya', 'sudah', 'dapat', 'bandara', 'shizuoka', 'selamat', 'tempat', 'bidang', 'hotel', 'program', 'skill', 'worker', 'sehat', 'tetap', 'iya', 'berkah', 'betah', 'ingin', 'jepang', 'httpstcoo', 'absjmvk']",joy
"['asean', 'semoga', 'trending', 'southeastasia', 'bakarsampah', 'kaburajadulu', 'indonesiagelap', 'airpollution', 'am', 'bau', 'asap', 'bakar', 'sampah', 'jis', 'tidak', 'cium', 'sunter', 'agung', 'temgah', 'danau', 'sunter', 'selatan', 'asa', 'rusak', 'httpstcoepcskqpzqq']",disgust
"['nih', 'belum', 'lulus', 'kuliah', 'masih', 'kutat', 'jakarta', 'kaburajadulu', 'bangkok']",anger
"['kadang', 'baik', 'memang', 'kabur', 'dulu', 'cari', 'tenang', 'baru', 'kaburajadulu']",trust
"['dana', 'kaget', 'ada', 'besar', 'kaburajadulu']",anger
"['padahal', 'pelopor', 'kaburajadulu']",anger
"['paling', 'ngomongin', 'utang', 'negara', 'sama', 'malem', 'bisa', 'bahas', 'vidoebucin', 'kaburajadulu']",trust
"['sekali', 'bisa', 'realisasi', 'ht', 'kaburajadulu']",anger
"['bingung', 'kita', 'kaburajadulu']",fear
